class,image_url,parts
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/14.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6243.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/331.svg,"body,leaf/leaves,stem,reflections/shiny parts"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/326.svg,"body,leaf/leaves,stem,reflections/shiny parts"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3296.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3295.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/10.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3603.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/25.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/22.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3604.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/18.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3286.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6245.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/323.svg,"body,leaf/leaves,stem,reflections/shiny parts"
